"wk_aussicht_1981" "wk_gold_1972" "wk_gruesse_2003" "wk_heilewelt_1998" "wk_hundstage_1988" "wk_kapitel_1975" "wk_markbein_1991" "wk_tadel_1971" "wk_umsonst_2006" "wk_willkommen_1984" "wk_zeit_1978"
"sein" 0.186862052251126 0.163780723720908 0.21206015116985 0.227113072301071 0.259095577479693 0.193040386080772 0.187556590350537 0.195637656486611 0.21623876271912 0.141754444053556 0.227274744981756
"um" 0.158060006603396 0.135297119595533 0.230538421603738 0.217564774967092 0.276213003018891 0.194056388112776 0.27163368257664 0.142965979740216 0.251363840927302 0.194524346584442 0.189099690160602
"wurde" 0.0372319126665777 0.189890694169169 0.284213397625982 0.284402856304945 0.199962652889733 0.248920497840996 0.183244944595352 0.177766909019084 0.172332414958893 0.390083397140078 0.0861158213407434
"bei" 0.201614319534109 0.250418352935591 0.134627398875465 0.214836690014527 0.180511032958825 0.200152400304801 0.159530892941836 0.221973494859809 0.156965193242813 0.254537176913685 0.168680474791147
"des" 0.177729696314041 0.143604837465434 0.212940068809559 0.255757964303008 0.267654290249292 0.134112268224536 0.206958996248868 0.151431070645886 0.169039438876876 0.202801978353993 0.157139179147542
"zum" 0.169299829295193 0.189890694169169 0.155745422228479 0.218246796205234 0.143163922691482 0.229616459232918 0.129349372655543 0.240784807983521 0.149281582384773 0.22349605777787 0.203304361721961
"ihr" 0.193886941433499 0.164967540559465 0.135507316515174 0.151408714867381 0.175064579378171 0.143256286512573 0.219893933514422 0.186231999924755 0.329297608201706 0.19659375452683 0.205079945667131
"ganz" 0.190374496842312 0.113934416501501 0.192701963096254 0.19096594667958 0.157947153838972 0.259080518161036 0.12719354977795 0.164598989832485 0.187699636674972 0.206940794238768 0.197977609886451
"frau" 0.233226320854789 0.166154357398023 0.17158393974324 0.156864884772512 0.147054246677663 0.122936245872492 0.34493166041478 0.153312201958258 0.267828721337387 0.130372700370424 0.151812427312032
"seine" 0.174919740641091 0.117494867017173 0.262215456633259 0.218928817443375 0.229529115184713 0.143256286512573 0.187556590350537 0.103462222180419 0.196480906227018 0.084845725637895 0.147373467449107
"wird" 0.557776201080428 0.0771430945062248 0.0422360467060283 0.0566077627657325 0.0427935638479973 0.106680213360427 0.051739749062217 0.0696018585577366 0.0439063477602274 0.0900192454938642 0.56286011061888
"würde" 0.0554966245407479 0.134110302756976 0.2366978450817 0.233251263444344 0.276991067816128 0.116840233680467 0.224205579269607 0.144847111052587 0.250266182233296 0.136580924197587 0.0452773906018342
"hätte" 0.0793812477608166 0.186330243653497 0.255176115515588 0.173233394487904 0.173508449783698 0.19507239014478 0.211270642004053 0.157074464583 0.211848127943097 0.176934379074147 0.055043102300269
"sowtschick" 0 0 0.349327302964443 0.00545616990513085 1.17020945504342 0 0 0 0 0 0
"waren" 0.0337194680753911 0.16734117423658 0.200621221853635 0.198468180299135 0.185179421742243 0.160528321056642 0.224205579269607 0.139203717115473 0.230508325741194 0.188316122757279 0.0994327009295182
"denn" 0.153845073093972 0.16734117423658 0.150465916390226 0.170505309535339 0.11826584917992 0.151384302768606 0.116414435389988 0.182469737300012 0.194285588839006 0.0972621732922211 0.183772938325092
"gewesen" 0.0505792021130867 0.232616100357232 0.180383116140329 0.174597436964187 0.125268432355047 0.183896367792736 0.183244944595352 0.181529171643827 0.17562539104091 0.182107898930116 0.0674721899164588
"mir" 0.0280995567294926 0.236176550872904 0.0316770350295212 0.0245527645730888 0.0233419439170894 0.50495300990602 0.00862329151036951 0.26053668676342 0.020855515186108 0.488380274403493 0.127842044052238
